SoC,6,4,5,7,8,10,10,10,10,8,7,5,4
0.0,0.47,0.49,0.50,0.52,0.54,0.56,0.57,0.59,0.61,0.63,0.64,0.66,0.68
5.0,0.45,0.46,0.48,0.50,0.51,0.53,0.55,0.56,0.58,0.60,0.61,0.63,0.65
10.0,0.43,0.44,0.46,0.47,0.49,0.51,0.52,0.54,0.55,0.57,0.58,0.60,0.62
15.0,0.40,0.42,0.43,0.45,0.46,0.48,0.49,0.51,0.52,0.54,0.55,0.57,0.58
20.0,0.38,0.39,0.41,0.42,0.44,0.45,0.46,0.48,0.49,0.51,0.52,0.53,0.55
25.0,0.36,0.37,0.38,0.40,0.41,0.42,0.44,0.45,0.46,0.47,0.49,0.50,0.51
30.0,0.34,0.35,0.36,0.37,0.38,0.40,0.41,0.42,0.43,0.45,0.46,0.47,0.48
35.0,0.31,0.33,0.34,0.35,0.36,0.37,0.38,0.40,0.41,0.42,0.43,0.44,0.45
40.0,0.30,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.39,0.40,0.41,0.42,0.43
45.0,0.28,0.29,0.30,0.31,0.32,0.33,0.34,0.36,0.37,0.38,0.39,0.40,0.41
50.0,0.26,0.27,0.28,0.29,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.39,0.40
55.0,0.24,0.25,0.27,0.28,0.29,0.30,0.31,0.33,0.34,0.35,0.36,0.37,0.39
60.0,0.23,0.24,0.25,0.26,0.28,0.29,0.30,0.31,0.33,0.34,0.35,0.36,0.38
65.0,0.21,0.22,0.24,0.25,0.26,0.28,0.29,0.30,0.32,0.33,0.34,0.36,0.37
70.0,0.20,0.21,0.22,0.24,0.25,0.27,0.28,0.29,0.31,0.32,0.34,0.35,0.36
75.0,0.18,0.20,0.21,0.23,0.24,0.26,0.27,0.29,0.30,0.32,0.33,0.34,0.36
80.0,0.17,0.18,0.20,0.21,0.23,0.25,0.26,0.28,0.29,0.31,0.32,0.34,0.36
85.0,0.15,0.17,0.18,0.20,0.22,0.23,0.25,0.27,0.28,0.30,0.32,0.33,0.35
90.0,0.14,0.15,0.17,0.19,0.21,0.22,0.24,0.26,0.27,0.29,0.31,0.33,0.34
95.0,0.12,0.14,0.16,0.17,0.19,0.21,0.23,0.25,0.26,0.28,0.30,0.32,0.34
100.0,0.10,0.12,0.14,0.16,0.18,0.20,0.22,0.23,0.25,0.27,0.29,0.31,0.33
